"IntEmpresa","IntAno","IntPeriodo","StrBanco","IntId","StrDocumento","StrConcepto","IntValor","IntConciliado","DatFecha","StrDetalle","IdSeguridad"
1,2017,2,"07",20,"0000284668","0",-14412398.00000,1,2017-02-21 00:00:00.000,Pago local a terceros         ,"6F7635BE-CB76-426E-A725-477D0081D288"
1,2017,2,"07",21,"0000284669","0",-358142.00000,1,2017-02-22 00:00:00.000,Pagado por caja propio        ,"15FEA49F-F9DF-4A99-AAEF-38ECE93B7576"
1,2017,2,"07",22,"0000284667","0",-14412397.00000,1,2017-02-22 00:00:00.000,Pago local a terceros         ,"0640C22D-CB41-44F9-B4A1-E26ABF48BAFF"
1,2017,2,"07",23,"0000284670","0",-672090.00000,1,2017-02-24 00:00:00.000,Pago local a terceros         ,"18C728A7-12D0-477A-A483-2EBB6A32DAC3"
1,2017,2,"07",24,"0000576151","0",-3244066.00000,1,2017-02-28 00:00:00.000,Pagado por caja propio        ,F9A8D742-583F-4750-B7A9-14A607D1A886
1,2017,2,"07",25,"0000000000","0",-7000000.00000,1,2017-02-06 00:00:00.000,DB transferencia por Internet ,"01D8FBBA-C429-46F3-A587-025A0B5B5019"
1,2017,2,"07",26,"0000000000","0",-2100.00000,0,2017-02-08 00:00:00.000,Comision disper pago proveedor,"3A7C8DDB-EC20-43A7-BC48-92A1CC7616CA"
1,2017,2,"07",27,"0000000000","0",-399.00000,0,2017-02-08 00:00:00.000,Cargo IVA                     ,CAB01D1C-8E6B-4FF4-89EB-6A59F61114AC
1,2017,2,"07",28,"0000000000","0",-1610919.00000,1,2017-02-08 00:00:00.000,Cargo dispers pago proveedores,"12641A2A-7818-45B6-9251-74AC7AE46E9A"
1,2017,2,"07",29,"0000000000","0",-2124000.00000,1,2017-02-08 00:00:00.000,Pago Impuest Nles x Inter Corp,C6A654B2-2510-488F-92AB-1E4824E96B32
1,2017,2,"07",30,"0000000000","0",-14950.00000,0,2017-02-08 00:00:00.000,Gravamen movimiento financiero,"1711D88A-D925-4CAE-8786-494BE32E1D59"
1,2017,2,"07",31,"0000000000","0",-2998.00000,0,2017-02-13 00:00:00.000,Gravamen movimiento financiero,B14160B8-5D43-4B9E-8CB1-2E2183520514
1,2017,2,"07",32,"0000000000","0",-277200.00000,0,2017-02-15 00:00:00.000,Gravamen movimiento financiero,FC38DF43-5C5A-40ED-A665-3AEE26AECDFD
1,2017,2,"07",33,"0000000000","0",-57650.00000,0,2017-02-21 00:00:00.000,Gravamen movimiento financiero,"0CDDB220-6452-4256-BA5B-B59B789A6176"
1,2017,2,"07",34,"0000005451","0",-5356000.00000,0,2017-02-22 00:00:00.000,Nota DB x embargo a cta cte   ,"7F97D354-1A67-4F1E-B5B9-C2E45519D4B7"
1,2017,2,"07",35,"0000000000","0",-80507.00000,0,2017-02-22 00:00:00.000,Gravamen movimiento financiero,BFD05B5C-6F4E-4063-A802-8F612188E4E9
1,2017,2,"07",36,"0000000000","0",-2688.00000,0,2017-02-24 00:00:00.000,Gravamen movimiento financiero,"37F1DD5D-8D57-4771-808F-BC961CC7800B"
1,2017,2,"07",37,"0000000000","0",-2100.00000,0,2017-02-27 00:00:00.000,Comision disper pago proveedor,E7E9C252-5820-47DA-BF1A-B71044D25B74
1,2017,2,"07",38,"0000000000","0",-399.00000,0,2017-02-27 00:00:00.000,Cargo IVA                     ,A02853CE-E306-4DCB-9AC7-F067F13C9CEE
1,2017,2,"07",39,"0000000000","0",-1525370.00000,1,2017-02-27 00:00:00.000,Cargo dispers pago proveedores,"4B107930-515F-4576-BA7B-405F9C0F3907"
1,2017,2,"07",40,"0000000000","0",-6111.00000,0,2017-02-27 00:00:00.000,Gravamen movimiento financiero,"09E97726-7367-45B1-96BE-4FFD9B814D78"
1,2017,2,"07",41,"0000000000","0",-12976.00000,0,2017-02-28 00:00:00.000,Gravamen movimiento financiero,DFDD495C-1472-4B51-B590-EB5CA0FCBF72
